IPFROM,IPTO,REGI,ASSIGX,CTRY,CNTRY,PAIS
3277829888,3277830143,RIPE,1150070400,IL,ISR,ISRAEL
3277830144,3277830399,RIPE,1150070400,SE,SWE,SWEDEN
3277830400,3277830655,RIPE,1150070400,UA,UKR,UKRAINE
3277830656,3277830911,RIPE,1150070400,PL,POL,POLAND
3277830912,3277831167,RIPE,1150070400,GB,GBR,UNITED
3277831168,3277831423,RIPE,1150070400,PL,POL,POLAND
3277831424,3277831679,RIPE,1150070400,UA,UKR,UKRAINE
3277831680,3277831935,RIPE,1150070400,IE,IRL,IRELAND
3277831936,3277832191,RIPE,1150156800,IE,IRL,IRELAND
3277832192,3277832703,RIPE,1099526400,EU,EU,EUROPEAN
3277832704,3277833215,RIPE,1099526400,EU,EU,EUROPEAN
3277833216,3277833727,RIPE,1099526400,BE,BEL,BELGIUM
3277833728,3277834239,RIPE,1099526400,NL,NLD,NETHERLANDS
3277834240,3277834751,RIPE,1099526400,RU,RUS,RUSSIAN
3277834752,3277835263,RIPE,1099612800,RU,RUS,RUSSIAN
3277835264,3277835775,RIPE,1099872000,SK,SVK,SLOVAKIA
3277835776,3277836287,RIPE,1099958400,UA,UKR,UKRAINE
3277836288,3277836799,RIPE,1099958400,FI,FIN,FINLAND
3277836800,3277837311,RIPE,1099958400,UA,UKR,UKRAINE
3277837312,3277837823,RIPE,1099958400,RU,RUS,RUSSIAN
3277837824,3277838335,RIPE,1099958400,RU,RUS,RUSSIAN
3277838336,3277838847,RIPE,1100044800,RU,RUS,RUSSIAN
3277838848,3277839359,RIPE,1100131200,BY,BLR,BELARUS
3277839360,3277839871,RIPE,1100217600,DE,DEU,GERMANY
3277839872,3277840383,RIPE,1100563200,UA,UKR,UKRAINE
3277840384,3277840895,RIPE,1100476800,GB,GBR,UNITED
3277840896,3277841407,RIPE,1100476800,GR,GRC,GREECE
3277841408,3277841919,RIPE,1100476800,RO,ROM,ROMANIA
3277841920,3277842431,RIPE,1100476800,IL,ISR,ISRAEL
3277842432,3277842943,RIPE,1100736000,UA,UKR,UKRAINE
3277842944,3277843455,RIPE,1100736000,PL,POL,POLAND
3277843456,3277843967,RIPE,1100822400,PT,PRT,PORTUGAL
3277843968,3277845503,RIPE,1100822400,DK,DNK,DENMARK
3277845504,3277847039,RIPE,1100822400,NL,NLD,NETHERLANDS
3277847040,3277847551,RIPE,1101081600,DK,DNK,DENMARK
